Processed Iteration 50,episodic return 16.08, reward_pressure: 0.0
Processed Iteration 100,episodic return 77.36, reward_pressure: 0.0
Processed Iteration 150,episodic return 89.14, reward_pressure: 0.0
Processed Iteration 200,episodic return 89.1, reward_pressure: 0.0
Processed Iteration 250,episodic return 86.76, reward_pressure: 0.0
Processed Iteration 300,episodic return 96.0, reward_pressure: 0.0
Processed Iteration 350,episodic return 464.98, reward_pressure: 0.0
Processed Iteration 400,episodic return 3272.98, reward_pressure: 0.0
Processed Iteration 450,episodic return 8376.44, reward_pressure: 0.0
Processed Iteration 500,episodic return 9165.44, reward_pressure: 0.0
Processed Iteration 550,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 600,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 650,episodic return 9820.36, reward_pressure: 0.0
Processed Iteration 700,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 750,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 800,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 850,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 900,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 950,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 1000,episodic return 10000.0, reward_pressure: 0.0
