Processed Iteration 50,episodic return 10.0, reward_pressure: 0.0
Processed Iteration 100,episodic return 41.08, reward_pressure: 0.0
Processed Iteration 150,episodic return 74.46, reward_pressure: 0.0
Processed Iteration 200,episodic return 80.18, reward_pressure: 0.0
Processed Iteration 250,episodic return 98.04, reward_pressure: 0.0
Processed Iteration 300,episodic return 469.54, reward_pressure: 0.0
Processed Iteration 350,episodic return 2463.52, reward_pressure: 0.0
Processed Iteration 400,episodic return 4947.46, reward_pressure: 0.0
Processed Iteration 450,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 500,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 550,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 600,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 650,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 700,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 750,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 800,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 850,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 900,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 950,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 1000,episodic return 5000.0, reward_pressure: 0.0
