Processed Iteration 50,episodic return 10.56, reward_pressure: 0.0
Processed Iteration 100,episodic return 18.74, reward_pressure: 0.0
Processed Iteration 150,episodic return 25.28, reward_pressure: 0.0
Processed Iteration 200,episodic return 74.48, reward_pressure: 0.0
Processed Iteration 250,episodic return 92.24, reward_pressure: 0.0
Processed Iteration 300,episodic return 171.4, reward_pressure: 0.0
Processed Iteration 350,episodic return 2865.66, reward_pressure: 0.0
Processed Iteration 400,episodic return 4299.58, reward_pressure: 0.0
Processed Iteration 450,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 500,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 550,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 600,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 650,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 700,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 750,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 800,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 850,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 900,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 950,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 1000,episodic return 5000.0, reward_pressure: 0.0
