Processed Iteration 50,episodic return 10.34, reward_pressure: 0.0
Processed Iteration 100,episodic return 35.0, reward_pressure: 0.0
Processed Iteration 150,episodic return 93.4, reward_pressure: 0.0
Processed Iteration 200,episodic return 92.18, reward_pressure: 0.0
Processed Iteration 250,episodic return 120.7, reward_pressure: 0.0
Processed Iteration 300,episodic return 1542.52, reward_pressure: 0.0
Processed Iteration 350,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 400,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 450,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 500,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 550,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 600,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 650,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 700,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 750,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 800,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 850,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 900,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 950,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 1000,episodic return 5000.0, reward_pressure: 0.0
