Processed Iteration 50,episodic return 7.7, reward_pressure: 0.0
Processed Iteration 100,episodic return 4.02, reward_pressure: 0.0
Processed Iteration 150,episodic return 4.58, reward_pressure: 0.0
Processed Iteration 200,episodic return 5.34, reward_pressure: 0.0
Processed Iteration 250,episodic return 132.74, reward_pressure: 0.0
Processed Iteration 300,episodic return 117.78, reward_pressure: 0.0
Processed Iteration 350,episodic return 226.18, reward_pressure: 0.0
Processed Iteration 400,episodic return 3923.54, reward_pressure: 0.0
Processed Iteration 450,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 500,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 550,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 600,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 650,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 700,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 750,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 800,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 850,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 900,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 950,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 1000,episodic return 5000.0, reward_pressure: 0.0
