Processed Iteration 50,episodic return 17.62, reward_pressure: 0.0
Processed Iteration 100,episodic return 79.28, reward_pressure: 0.0
Processed Iteration 150,episodic return 85.56, reward_pressure: 0.0
Processed Iteration 200,episodic return 88.3, reward_pressure: 0.0
Processed Iteration 250,episodic return 126.36, reward_pressure: 0.0
Processed Iteration 300,episodic return 630.98, reward_pressure: 0.0
Processed Iteration 350,episodic return 2675.86, reward_pressure: 0.0
Processed Iteration 400,episodic return 4407.9, reward_pressure: 0.0
Processed Iteration 450,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 500,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 550,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 600,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 650,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 700,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 750,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 800,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 850,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 900,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 950,episodic return 5000.0, reward_pressure: 0.0
Processed Iteration 1000,episodic return 5000.0, reward_pressure: 0.0
